date,DDD_CAR,DDD_X,FF_AVG,FF_X,RH_AVG,RR,SS,TAVG,TN,TX
2010-05-11,SE,135.0,1.0,3.0,90.0,56.0,2.8,22.0,19.0,27.4
2010-05-12,W ,270.0,1.0,3.0,84.0,4.0,3.1,22.2,20.0,27.0
2010-05-13,N ,360.0,2.0,5.0,93.0,2.0,2.4,21.3,19.0,26.9
2010-05-14,SE,135.0,0.0,2.0,90.0,11.0,0.8,21.3,19.0,25.6
2010-05-15,W ,270.0,0.0,3.0,85.0,33.0,2.1,22.7,18.0,26.0
2010-05-16,W ,270.0,1.0,3.0,91.0,5.0,3.6,21.1,19.0,25.0
2010-05-17,W ,270.0,1.0,3.0,85.0,21.0,0.0,23.4,19.0,27.4
2010-05-18,N ,360.0,0.0,2.0,80.0,0.0,4.0,23.4,21.0,27.8
2010-05-19,NW,315.0,2.0,4.0,82.0,0.0,5.9,23.1,20.0,27.9
2010-05-20,NW,315.0,0.0,2.0,92.0,7.0,4.7,21.3,20.0,25.8
2010-05-21,W ,270.0,0.0,2.0,79.0,19.0,1.7,22.7,20.0,27.9
2010-05-22,NW,315.0,1.0,3.0,82.0,7.0,3.8,22.4,19.0,29.0
2010-05-23,SE,135.0,1.0,3.0,88.0,3.0,5.8,22.0,20.0,25.9
2010-05-24,W ,270.0,1.0,3.0,91.0,16.0,2.3,21.7,20.0,26.3
2010-05-25,W ,270.0,2.0,4.0,83.0,3.0,2.6,22.3,20.0,27.0
2010-05-26,SE,135.0,1.0,2.0,86.0,1.0,3.4,22.7,20.0,27.4
2010-05-27,W ,270.0,1.0,2.0,87.0,21.0,4.5,21.3,19.0,28.2
2010-05-28,W ,270.0,1.0,3.0,86.0,0.0,0.0,22.1,19.0,27.2
2010-05-29,SE,135.0,1.0,3.0,82.0,0.0,4.5,21.8,19.0,27.0
2010-05-30,W ,270.0,2.0,4.0,86.0,,2.1,22.0,19.0,27.1
2010-05-31,NW,315.0,2.0,4.0,85.0,20.0,3.6,22.5,19.0,27.4
2010-06-01,W ,270.0,1.0,3.0,90.0,8.0,4.3,21.9,20.0,25.6
2010-06-02,W ,270.0,1.0,2.0,88.0,6.0,2.1,22.5,20.0,26.6
2010-06-03,NW,315.0,1.0,3.0,89.0,0.0,3.2,22.4,20.0,27.6
2010-06-04,NW,315.0,1.0,2.0,92.0,37.0,4.5,21.4,20.0,27.6
2010-06-05,W ,270.0,1.0,2.0,92.0,8.0,1.8,21.4,20.0,27.1
2010-06-06,NW,315.0,1.0,2.0,90.0,7.0,0.7,21.0,19.0,26.4
2010-06-07,SE,135.0,1.0,1.0,91.0,,1.5,21.1,19.0,25.0
2010-06-08,W ,270.0,1.0,3.0,94.0,1.0,0.1,20.5,20.0,25.1
2010-06-09,SE,135.0,0.0,1.0,80.0,119.0,0.7,21.5,19.0,26.5
2010-06-10,SE,135.0,1.0,3.0,82.0,0.0,0.3,21.4,20.0,26.1
2010-06-11,W ,270.0,1.0,3.0,73.0,0.0,0.4,22.4,19.0,23.6
2010-06-12,SE,135.0,2.0,3.0,89.0,0.0,5.6,21.0,19.0,25.0
2010-06-13,SE,135.0,1.0,2.0,77.0,12.0,0.5,21.7,18.0,25.0
2010-06-14,W ,270.0,2.0,3.0,86.0,0.0,4.2,22.2,19.0,26.0
2010-06-15,W ,270.0,1.0,3.0,92.0,,1.4,21.2,20.0,25.1
2010-06-16,W ,270.0,1.0,2.0,91.0,19.0,1.4,19.8,18.0,25.4
2010-06-17,SE,135.0,0.0,2.0,88.0,4.0,0.0,20.3,19.0,22.8
2010-06-18,W ,270.0,1.0,2.0,84.0,0.0,0.0,21.1,18.0,25.0
2010-06-19,W ,270.0,1.0,3.0,78.0,8.0,3.8,22.2,19.0,25.2
2010-06-20,E ,90.0,1.0,3.0,82.0,0.0,3.0,23.1,20.0,27.3
2010-06-21,SE,135.0,2.0,4.0,83.0,0.0,4.9,22.2,19.0,27.4
2010-06-22,SE,135.0,1.0,2.0,78.0,0.0,3.9,21.6,18.0,26.4
2010-06-23,NW,315.0,1.0,2.0,82.0,0.0,3.6,21.1,19.0,26.6
2010-06-24,NW,315.0,2.0,3.0,89.0,0.0,3.1,21.2,19.0,26.8
2010-06-25,NW,315.0,1.0,2.0,94.0,11.0,1.2,21.4,19.0,26.0
2010-06-26,W ,270.0,1.0,2.0,90.0,,1.0,21.0,19.0,25.4
2010-06-27,W ,270.0,2.0,4.0,88.0,5.0,3.2,22.3,19.0,27.1
2010-06-28,SE,135.0,2.0,4.0,91.0,0.0,5.6,21.1,19.0,24.5
2010-06-29,NW,315.0,1.0,3.0,91.0,0.0,1.0,20.5,19.0,24.4
2010-06-30,E ,90.0,1.0,3.0,89.0,10.0,1.4,21.6,19.0,26.4
2010-07-01,W ,270.0,1.0,2.0,80.0,,3.2,22.1,19.0,27.0
2010-07-02,W ,270.0,1.0,3.0,87.0,1.0,1.7,21.1,19.0,26.8
2010-07-03,NW,315.0,2.0,6.0,87.0,0.0,3.5,20.7,19.0,26.8
2010-07-04,NW,315.0,1.0,2.0,82.0,19.0,0.3,21.9,19.0,26.4
2010-07-05,W ,270.0,1.0,3.0,80.0,1.0,0.0,22.0,19.0,26.4
2010-07-06,SE,135.0,1.0,3.0,86.0,1.0,2.3,21.8,20.0,25.7
2010-07-07,NW,315.0,1.0,2.0,89.0,3.0,2.4,21.0,19.0,25.4
2010-07-08,SE,135.0,0.0,2.0,86.0,1.0,1.5,19.8,18.0,25.2
2010-07-09,SE,135.0,2.0,4.0,88.0,2.0,2.3,20.6,18.0,25.1
2010-07-10,W ,270.0,1.0,2.0,84.0,10.0,2.4,21.3,19.0,26.0
2010-07-11,SE,135.0,2.0,4.0,84.0,0.0,2.7,21.7,19.0,25.4
2010-07-12,SW,225.0,0.0,2.0,89.0,0.0,5.0,21.4,19.0,25.2
2010-07-13,NW,315.0,0.0,2.0,86.0,5.0,4.2,21.1,18.0,26.0
2010-07-14,SE,135.0,1.0,3.0,80.0,0.0,3.5,21.4,18.0,26.7
2010-07-15,W ,270.0,2.0,5.0,75.0,0.0,2.3,22.5,18.0,26.7
2010-07-16,W ,270.0,1.0,3.0,81.0,0.0,3.7,21.4,18.0,25.4
2010-07-17,E ,90.0,2.0,4.0,88.0,,0.7,20.8,18.0,25.6
2010-07-18,W ,270.0,0.0,2.0,90.0,3.0,0.9,20.5,18.0,24.0
2010-07-19,W ,270.0,1.0,3.0,93.0,29.0,1.9,20.0,18.0,25.6
2010-07-20,W ,270.0,1.0,3.0,87.0,33.0,0.7,21.3,18.0,26.3
2010-07-21,S ,180.0,2.0,5.0,87.0,,3.5,21.5,18.0,26.6
2010-07-22,W ,270.0,2.0,3.0,75.0,0.0,4.2,21.4,18.0,25.8
2010-07-23,SW,225.0,1.0,2.0,79.0,0.0,4.2,20.8,18.0,26.2
2010-07-24,NW,315.0,1.0,3.0,82.0,0.0,5.7,21.1,18.0,28.3
2010-07-25,W ,270.0,1.0,2.0,82.0,0.0,5.8,21.6,18.0,26.8
2010-07-26,W ,270.0,2.0,3.0,89.0,0.0,1.6,21.7,18.0,26.1
2010-07-27,W ,270.0,2.0,4.0,96.0,7.0,2.1,19.8,19.0,25.7
2010-07-28,SE,135.0,1.0,2.0,86.0,4.0,0.0,21.1,19.0,25.0
2010-07-29,NW,315.0,1.0,2.0,86.0,13.0,2.5,22.4,20.0,26.2
2010-07-30,E ,90.0,2.0,3.0,73.0,6.0,2.9,22.7,19.0,26.2
2010-07-31,S ,180.0,2.0,4.0,80.0,0.0,6.3,23.0,18.0,26.5
2010-08-01,SW,225.0,2.0,5.0,82.0,0.0,4.2,21.6,19.0,26.4
2010-08-02,NW,315.0,2.0,5.0,88.0,0.0,4.0,20.8,18.0,26.6
2010-08-03,SE,135.0,0.0,2.0,83.0,0.0,2.8,21.0,18.0,25.3
2010-08-04,W ,270.0,1.0,3.0,90.0,31.0,2.5,20.5,18.0,24.6
2010-08-05,W ,270.0,0.0,2.0,94.0,4.0,0.4,21.0,19.0,24.8
2010-08-06,S ,180.0,0.0,2.0,88.0,4.0,0.7,20.7,19.0,25.6
2010-08-07,NW,315.0,0.0,2.0,85.0,19.0,0.7,21.1,18.0,25.4
2010-08-08,NW,315.0,1.0,4.0,86.0,0.0,1.4,20.7,18.0,25.8
2010-08-09,SE,135.0,0.0,2.0,91.0,4.0,3.1,20.3,18.0,24.8
2010-08-10,W ,270.0,0.0,2.0,82.0,28.0,3.0,21.5,18.0,26.8
2010-08-11,E ,90.0,1.0,4.0,80.0,0.0,3.0,22.3,19.0,26.6
2010-08-12,SE,135.0,1.0,4.0,81.0,0.0,3.7,22.2,20.0,26.8
2010-08-13,NW,315.0,1.0,3.0,78.0,0.0,2.3,22.8,19.0,27.4
2010-08-14,E ,90.0,2.0,6.0,86.0,0.0,3.5,22.2,19.0,27.2
2010-08-15,NW,315.0,1.0,3.0,91.0,0.0,3.8,21.0,19.0,24.0
2010-08-16,NW,315.0,1.0,2.0,92.0,1.0,0.2,20.7,19.0,24.0
2010-08-17,W ,270.0,0.0,2.0,94.0,7.0,1.1,20.3,18.0,24.3
2010-08-18,W ,270.0,0.0,2.0,90.0,19.0,1.1,20.7,17.0,26.0
2010-08-19,W ,270.0,0.0,2.0,84.0,2.0,1.7,21.5,19.0,26.2
2010-08-20,NW,315.0,1.0,3.0,87.0,4.0,2.5,20.8,19.0,25.7
2010-08-21,E ,90.0,1.0,4.0,85.0,10.0,1.6,21.9,19.0,25.4
2010-08-22,W ,270.0,0.0,2.0,81.0,6.0,1.4,21.9,18.0,27.0
2010-08-23,W ,270.0,1.0,3.0,79.0,,1.6,22.4,20.0,26.2
2010-08-24,W ,270.0,0.0,2.0,90.0,0.0,2.1,21.2,19.0,26.0
2010-08-25,SE,135.0,0.0,2.0,88.0,34.0,1.6,21.5,19.0,27.0
2010-08-26,NW,315.0,1.0,4.0,79.0,69.0,3.0,22.9,19.0,27.8
2010-08-27,SE,135.0,1.0,3.0,88.0,7.0,5.1,19.7,19.0,25.8
2010-08-28,SE,135.0,1.0,3.0,88.0,49.0,2.4,20.7,18.0,25.2
2010-08-29,W ,270.0,0.0,2.0,82.0,8.0,1.9,21.5,18.0,27.3
2010-08-30,W ,270.0,0.0,2.0,76.0,0.0,4.3,22.1,19.0,28.0
2010-08-31,E ,90.0,1.0,3.0,80.0,0.0,6.1,21.7,18.0,27.4
2010-09-01,NE,45.0,1.0,3.0,86.0,0.0,3.3,20.5,19.0,27.7
2010-09-02,NW,315.0,0.0,2.0,89.0,70.0,1.7,20.8,18.0,26.7
2010-09-03,W ,270.0,0.0,2.0,91.0,20.0,4.1,21.1,19.0,25.4
2010-09-04,NW,315.0,1.0,2.0,84.0,39.0,2.4,22.3,18.0,27.4
2010-09-05,SE,135.0,1.0,4.0,86.0,0.0,5.5,21.2,18.0,25.0
2010-09-06,NW,315.0,1.0,3.0,92.0,7.0,0.7,20.5,18.0,25.0
2010-09-07,SE,135.0,0.0,2.0,86.0,9.0,0.0,20.3,19.0,24.9
2010-09-08,SE,135.0,0.0,2.0,89.0,7.0,1.9,20.1,19.0,23.4
2010-09-09,SE,135.0,0.0,2.0,80.0,18.0,0.5,21.7,18.0,26.2
2010-09-10,W ,270.0,1.0,3.0,87.0,9.0,3.3,20.3,18.0,26.6
2010-09-11,N ,360.0,1.0,3.0,81.0,12.0,2.1,21.0,18.0,25.4
2010-09-12,SE,135.0,1.0,4.0,82.0,8.0,4.7,21.5,18.0,25.6
2010-09-13,SE,135.0,1.0,3.0,88.0,0.0,2.1,21.0,18.0,25.1
2010-09-14,SE,135.0,1.0,3.0,84.0,21.0,2.0,21.9,18.0,25.4
2010-09-15,NW,315.0,1.0,3.0,90.0,3.0,1.8,20.7,19.0,24.5
2010-09-16,NW,315.0,1.0,4.0,84.0,1.0,1.1,21.0,19.0,25.5
2010-09-17,W ,270.0,1.0,3.0,87.0,2.0,1.4,20.7,19.0,25.0
2010-09-18,W ,270.0,1.0,3.0,86.0,29.0,1.7,21.2,18.0,25.1
2010-09-19,NW,315.0,1.0,3.0,82.0,0.0,1.9,22.5,19.0,28.0
2010-09-20,SE,135.0,1.0,4.0,86.0,1.0,3.3,22.0,19.0,26.0
2010-09-21,W ,270.0,0.0,2.0,90.0,2.0,2.3,21.2,20.0,24.2
2010-09-22,W ,270.0,0.0,2.0,88.0,5.0,1.4,20.2,19.0,25.2
2010-09-23,SE,135.0,1.0,3.0,86.0,33.0,2.4,20.7,19.0,25.6
2010-09-24,NW,315.0,0.0,2.0,90.0,20.0,2.2,20.7,19.0,25.0
2010-09-25,W ,270.0,0.0,2.0,84.0,30.0,1.9,21.0,19.0,26.0
2010-09-26,S ,180.0,1.0,5.0,80.0,7.0,0.3,22.0,20.0,26.6
2010-09-27,W ,270.0,1.0,5.0,91.0,2.0,3.0,21.2,20.0,24.4
2010-09-28,NW,315.0,1.0,3.0,84.0,16.0,1.3,22.0,19.0,27.6
2010-09-29,NW,315.0,0.0,2.0,84.0,0.0,5.0,22.0,19.0,26.6
2010-09-30,W ,270.0,0.0,2.0,86.0,4.0,3.8,21.7,18.0,26.7
2010-10-01,NW,315.0,1.0,4.0,86.0,0.0,4.3,22.0,19.0,26.9
2010-10-02,NE,45.0,0.0,2.0,91.0,4.0,2.8,21.2,19.0,25.7
2010-10-03,NW,315.0,1.0,4.0,82.0,5.0,3.4,21.9,20.0,26.8
2010-10-04,E ,90.0,2.0,11.0,71.0,12.0,1.6,23.0,20.0,26.3
2010-10-05,E ,90.0,1.0,5.0,87.0,0.0,1.1,21.6,19.0,25.6
2010-10-06,W ,270.0,0.0,2.0,92.0,0.0,0.0,21.3,20.0,26.1
2010-10-07,SE,135.0,0.0,2.0,85.0,38.0,3.2,21.1,19.0,26.4
2010-10-08,SE,135.0,0.0,2.0,88.0,9.0,2.8,20.5,19.0,25.4
2010-10-09,W ,270.0,0.0,2.0,87.0,18.0,1.9,20.9,19.0,25.0
2010-10-10,NW,315.0,0.0,3.0,68.0,0.0,2.7,20.6,16.0,27.4
2010-10-11,W ,270.0,0.0,3.0,59.0,0.0,6.5,21.5,17.0,27.2
2010-10-12,SE,135.0,0.0,3.0,70.0,0.0,6.1,22.2,15.0,27.1
2010-10-13,W ,270.0,1.0,4.0,88.0,2.0,5.7,21.6,20.0,26.8
2010-10-14,NW,315.0,1.0,3.0,86.0,0.0,2.3,21.0,19.0,26.4
2010-10-15,W ,270.0,0.0,2.0,80.0,40.0,3.0,22.2,19.0,26.6
2010-10-16,W ,270.0,1.0,3.0,79.0,,3.3,22.0,19.0,27.4
2010-10-17,NW,315.0,0.0,3.0,78.0,1.0,4.5,22.5,19.0,27.3
2010-10-18,SW,225.0,1.0,4.0,90.0,,2.9,20.5,19.0,23.9
2010-10-19,SE,135.0,0.0,3.0,88.0,30.0,0.7,20.7,18.0,25.6
2010-10-20,S ,180.0,0.0,2.0,95.0,7.0,2.8,21.0,17.0,23.8
2010-10-21,NW,315.0,0.0,2.0,84.0,78.0,0.0,22.0,18.0,27.4
2010-10-22,NW,315.0,1.0,3.0,90.0,5.0,3.9,20.7,18.0,27.8
2010-10-23,NW,315.0,0.0,2.0,80.0,16.0,2.1,22.7,19.0,26.2
2010-10-24,NE,45.0,1.0,5.0,95.0,6.0,3.0,20.7,19.0,25.4
2010-10-25,NW,315.0,0.0,2.0,91.0,12.0,1.5,20.8,19.0,24.8
2010-10-26,NW,315.0,0.0,2.0,95.0,19.0,1.6,20.4,18.0,26.0
2010-10-27,S ,180.0,0.0,3.0,88.0,27.0,2.2,21.0,18.0,25.8
2010-10-28,NW,315.0,0.0,3.0,92.0,2.0,2.9,20.5,18.0,24.4
2010-10-29,NW,315.0,0.0,1.0,95.0,19.0,0.5,20.1,18.0,24.1
2010-10-30,W ,270.0,0.0,2.0,94.0,10.0,1.7,19.9,19.0,23.7
